Height 50 Width 120 Name WinBase
Char -38 BG 0 FG 10
Char -77 BG 0 FG 10
Char -77 BG 0 FG 10
Char -77 BG 0 FG 10
Char -77 BG 0 FG 10
Char -77 BG 0 FG 10
Char -77 BG 0 FG 10
Char -77 BG 0 FG 10
Char -77 BG 0 FG 10
Char -77 BG 0 FG 10
Char -77 BG 0 FG 10
Char -77 BG 0 FG 10
Char -77 BG 0 FG 10
Char -77 BG 0 FG 10
Char -77 BG 0 FG 10
Char -77 BG 0 FG 10
Char -77 BG 0 FG 10
Char -77 BG 0 FG 10
Char -77 BG 0 FG 10
Char -77 BG 0 FG 10
Char -77 BG 0 FG 10
Char -77 BG 0 FG 10
Char -77 BG 0 FG 10
Char -77 BG 0 FG 10
Char -77 BG 0 FG 10
Char -77 BG 0 FG 10
Char -77 BG 0 FG 10
Char -77 BG 0 FG 10
Char -77 BG 0 FG 10
Char -77 BG 0 FG 10
Char -77 BG 0 FG 10
Char -77 BG 0 FG 10
Char -77 BG 0 FG 10
Char -77 BG 0 FG 10
Char -77 BG 0 FG 10
Char -77 BG 0 FG 10
Char -77 BG 0 FG 10
Char -77 BG 0 FG 10
Char -77 BG 0 FG 10
Char -77 BG 0 FG 10
Char -77 BG 0 FG 10
Char -77 BG 0 FG 10
Char -77 BG 0 FG 10
Char -77 BG 0 FG 10
Char -77 BG 0 FG 10
Char -77 BG 0 FG 10
Char -77 BG 0 FG 10
Char -77 BG 0 FG 10
Char -77 BG 0 FG 10
Char -64 BG 0 FG 10
Char -60 BG 0 FG 10
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char -60 BG 0 FG 10
Char -60 BG 0 FG 10
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char -60 BG 0 FG 10
Char -60 BG 0 FG 10
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
