Height 50 Width 120 Name PlayGameBase
Char -38 BG 0 FG 2
Char -77 BG 0 FG 2
Char -77 BG 0 FG 2
Char -77 BG 0 FG 2
Char -77 BG 0 FG 2
Char -77 BG 0 FG 2
Char -77 BG 0 FG 2
Char -77 BG 0 FG 2
Char -77 BG 0 FG 2
Char -77 BG 0 FG 2
Char -77 BG 0 FG 2
Char -77 BG 0 FG 2
Char -77 BG 0 FG 2
Char -77 BG 0 FG 2
Char -77 BG 0 FG 2
Char -77 BG 0 FG 2
Char -77 BG 0 FG 2
Char -77 BG 0 FG 2
Char -77 BG 0 FG 2
Char -77 BG 0 FG 2
Char -77 BG 0 FG 2
Char -77 BG 0 FG 2
Char -77 BG 0 FG 2
Char -77 BG 0 FG 2
Char -77 BG 0 FG 2
Char -77 BG 0 FG 2
Char -77 BG 0 FG 2
Char -77 BG 0 FG 2
Char -77 BG 0 FG 2
Char -77 BG 0 FG 2
Char -77 BG 0 FG 2
Char -77 BG 0 FG 2
Char -77 BG 0 FG 2
Char -77 BG 0 FG 2
Char -77 BG 0 FG 2
Char -77 BG 0 FG 2
Char -77 BG 0 FG 2
Char -77 BG 0 FG 2
Char -77 BG 0 FG 2
Char -77 BG 0 FG 2
Char -77 BG 0 FG 2
Char -77 BG 0 FG 2
Char -77 BG 0 FG 2
Char -77 BG 0 FG 2
Char -77 BG 0 FG 2
Char -77 BG 0 FG 2
Char -77 BG 0 FG 2
Char -77 BG 0 FG 2
Char -77 BG 0 FG 2
Char -64 BG 0 FG 2
Char -60 BG 0 FG 2
Char 32 BG 0 FG 15
Char -60 BG 0 FG 2
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char -60 BG 0 FG 1
Char -77 BG 0 FG 1
Char -60 BG 0 FG 1
Char -77 BG 0 FG 1
Char -77 BG 0 FG 1
Char -77 BG 0 FG 1
Char -60 BG 0 FG 1
Char -77 BG 0 FG 1
Char -77 BG 0 FG 1
Char -77 BG 0 FG 1
Char -60 BG 0 FG 1
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char -60 BG 0 FG 2
Char -60 BG 0 FG 2
Char 32 BG 0 FG 15
Char -60 BG 0 FG 2
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char -60 BG 0 FG 1
Char 32 BG 0 FG 15
Char -60 BG 0 FG 1
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char -60 BG 0 FG 1
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char -60 BG 0 FG 1
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char -60 BG 0 FG 2
Char -60 BG 0 FG 2
Char 32 BG 0 FG 15
Char -60 BG 0 FG 2
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
