Height 14 Width 30 Name Inventory
Char -38 BG 0 FG 14
Char -77 BG 0 FG 14
Char -77 BG 0 FG 14
Char -77 BG 0 FG 14
Char -77 BG 0 FG 14
Char -77 BG 0 FG 14
Char -77 BG 0 FG 14
Char -77 BG 0 FG 14
Char -77 BG 0 FG 14
Char -77 BG 0 FG 14
Char -77 BG 0 FG 14
Char -77 BG 0 FG 14
Char -77 BG 0 FG 14
Char -64 BG 0 FG 14
Char -60 BG 0 FG 14
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char -60 BG 0 FG 14
Char -60 BG 0 FG 14
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 49 BG 0 FG 14
Char 32 BG 0 FG 15
Char -60 BG 0 FG 14
Char -60 BG 0 FG 14
Char 32 BG 0 FG 15
Char 49 BG 0 FG 14
Char 50 BG 0 FG 14
Char 51 BG 0 FG 14
Char 52 BG 0 FG 14
Char 53 BG 0 FG 14
Char 54 BG 0 FG 14
Char 55 BG 0 FG 14
Char 56 BG 0 FG 14
Char 57 BG 0 FG 14
Char 48 BG 0 FG 14
Char 32 BG 0 FG 15
Char -60 BG 0 FG 14
Char -60 BG 0 FG 14
Char 32 BG 0 FG 15
Char 58 BG 0 FG 14
Char 58 BG 0 FG 14
Char 58 BG 0 FG 14
Char 58 BG 0 FG 14
Char 58 BG 0 FG 14
Char 58 BG 0 FG 14
Char 58 BG 0 FG 14
Char 58 BG 0 FG 14
Char 58 BG 0 FG 14
Char 58 BG 0 FG 14
Char 32 BG 0 FG 15
Char -60 BG 0 FG 14
Char -60 BG 0 FG 14
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char -60 BG 0 FG 14
Char -60 BG 0 FG 14
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
